Mine,ForecastYear,Horizonte,Scenario,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Cu_Regime,Segment
andacollo,2026,1,base,48.756627556084815,50.481,29.616627556084815,45.71862755608482,50.481,1,Medium,1,0.5,SmallMed
andacollo,2027,2,base,46.076627556084816,50.481,24.472627556084817,45.405627556084816,50.481,1,Medium,1,0.5,SmallMed
andacollo,2028,3,base,48.38362755608482,50.481,25.091627556084816,44.24962755608482,50.481,1,Medium,1,0.5,SmallMed
andacollo,2029,4,base,41.89262755608482,50.481,18.339627556084814,46.945627556084816,50.481,1,Medium,1,0.5,SmallMed
andacollo,2030,5,base,33.787627556084814,50.481,18.139627556084818,43.84062755608482,50.481,1,Medium,1,0.5,SmallMed
andacollo,2031,6,base,34.61162755608482,50.481,22.281627556084814,41.20262755608482,50.481,1,Medium,1,0.5,SmallMed
andacollo,2032,7,base,35.305627556084815,50.481,21.756627556084815,42.308627556084815,50.481,1,Medium,1,0.5,SmallMed
andina,2026,1,base,162.22907558943058,181.62,153.5460755894306,169.66007558943056,181.62,3,Colossal,2,0.5,LargeColossal
andina,2027,2,base,164.20507558943058,181.62,152.00807558943058,169.66507558943056,181.62,3,Colossal,2,0.5,LargeColossal
andina,2028,3,base,163.51007558943058,181.62,150.5170755894306,169.76207558943054,181.62,3,Colossal,2,0.5,LargeColossal
andina,2029,4,base,158.75607558943057,181.62,142.7790755894306,168.00807558943058,181.62,3,Colossal,2,0.5,LargeColossal
andina,2030,5,base,153.17207558943056,181.62,142.30507558943054,163.71107558943055,181.62,3,Colossal,2,0.5,LargeColossal
andina,2031,6,base,148.12407558943056,181.62,141.22407558943058,162.7960755894306,181.62,3,Colossal,2,0.5,LargeColossal
andina,2032,7,base,142.72907558943058,181.62,138.17607558943058,162.63507558943058,181.62,3,Colossal,2,0.5,LargeColossal
antucoya,2026,1,base,86.51411524850299,81.159,89.30611524850299,88.94111524850298,81.159,1,Medium,1,0.5,SmallMed
antucoya,2027,2,base,85.79011524850299,81.159,88.69211524850299,89.49011524850299,81.159,1,Medium,1,0.5,SmallMed
antucoya,2028,3,base,85.53811524850299,81.159,84.59111524850299,88.26111524850299,81.159,1,Medium,1,0.5,SmallMed
antucoya,2029,4,base,82.05311524850299,81.159,80.54911524850299,86.00411524850298,81.159,1,Medium,1,0.5,SmallMed
antucoya,2030,5,base,80.30011524850299,81.159,79.70011524850298,82.405115248503,81.159,1,Medium,1,0.5,SmallMed
antucoya,2031,6,base,69.92811524850299,81.159,69.45211524850299,81.38911524850299,81.159,1,Medium,1,0.5,SmallMed
antucoya,2032,7,base,59.51311524850298,81.159,47.82411524850298,81.19211524850299,81.159,1,Medium,1,0.5,SmallMed
atacama kozan,2026,1,base,13.566553112743275,11.623,13.578553112743275,13.867553112743275,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2027,2,base,13.578553112743275,11.623,13.032553112743274,13.792553112743276,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2028,3,base,12.648553112743276,11.623,12.006553112743275,13.672553112743275,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2029,4,base,12.266553112743274,11.623,11.682553112743275,13.309553112743275,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2030,5,base,11.856553112743276,11.623,11.750553112743274,12.440553112743276,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2031,6,base,12.454553112743275,11.623,10.454553112743275,11.708553112743274,11.623,0,Small,1,0.5,SmallMed
atacama kozan,2032,7,base,12.301553112743274,11.623,10.230553112743275,11.413553112743275,11.623,0,Small,1,0.5,SmallMed
candelaria,2026,1,base,131.14710848177987,125.182,109.98810848177988,137.84410848177987,125.182,2,Large,1,0.5,LargeColossal
candelaria,2027,2,base,131.85810848177988,125.182,104.00410848177988,137.36410848177988,125.182,2,Large,1,0.5,LargeColossal
candelaria,2028,3,base,134.4611084817799,125.182,100.84310848177988,133.66010848177987,125.182,2,Large,1,0.5,LargeColossal
candelaria,2029,4,base,133.13310848177989,125.182,98.98610848177988,131.94810848177988,125.182,2,Large,1,0.5,LargeColossal
candelaria,2030,5,base,130.69710848177988,125.182,97.50510848177987,131.11310848177988,125.182,2,Large,1,0.5,LargeColossal
candelaria,2031,6,base,126.14510848177987,125.182,95.87210848177988,130.3721084817799,125.182,2,Large,1,0.5,LargeColossal
candelaria,2032,7,base,125.57710848177987,125.182,93.34310848177988,128.96210848177986,125.182,2,Large,1,0.5,LargeColossal
capstone copper (4),2026,1,base,185.0586367734734,157.034,126.17863677347341,204.65763677347343,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2027,2,base,172.89963677347342,157.034,124.77463677347342,200.8926367734734,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2028,3,base,161.90263677347343,157.034,121.44963677347342,197.56863677347343,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2029,4,base,154.50863677347343,157.034,119.29463677347343,194.1246367734734,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2030,5,base,152.66363677347343,157.034,118.24763677347342,192.95963677347342,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2031,6,base,159.34063677347342,157.034,115.33163677347342,193.18263677347343,157.034,2,Large,0,0.5,LargeColossal
capstone copper (4),2032,7,base,159.93163677347343,157.034,112.02963677347343,200.81763677347342,157.034,2,Large,0,0.5,LargeColossal
caserones,2026,1,base,138.13608396933023,132.882,125.86408396933022,147.7450839693302,132.882,2,Large,1,0.5,LargeColossal
caserones,2027,2,base,140.1680839693302,132.882,125.40408396933022,150.28808396933022,132.882,2,Large,1,0.5,LargeColossal
caserones,2028,3,base,134.5600839693302,132.882,125.37208396933022,147.17408396933024,132.882,2,Large,1,0.5,LargeColossal
caserones,2029,4,base,138.78208396933024,132.882,124.97208396933021,145.3390839693302,132.882,2,Large,1,0.5,LargeColossal
caserones,2030,5,base,141.85408396933025,132.882,125.33008396933022,143.80208396933023,132.882,2,Large,1,0.5,LargeColossal
caserones,2031,6,base,141.5410839693302,132.882,128.93208396933022,144.6060839693302,132.882,2,Large,1,0.5,LargeColossal
caserones,2032,7,base,142.61208396933023,132.882,130.60408396933022,147.47008396933023,132.882,2,Large,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2026,1,base,160.05795851482046,174.323,142.04595851482046,194.20895851482047,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2027,2,base,157.89495851482047,174.323,139.96695851482048,192.48095851482046,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2028,3,base,146.06795851482048,174.323,136.79395851482047,188.79195851482046,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2029,4,base,142.57495851482045,174.323,133.75995851482045,183.40795851482045,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2030,5,base,133.99695851482048,174.323,126.15795851482048,180.27195851482045,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2031,6,base,132.48395851482047,174.323,120.65195851482048,178.76995851482047,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_sulfuros_,2032,7,base,128.73795851482046,174.323,116.66595851482047,181.51995851482047,174.323,3,Colossal,1,0.5,LargeColossal
centinela_centinela_óxidos_,2026,1,base,74.94040219561896,66.124,58.89840219561897,90.29740219561896,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2027,2,base,69.86740219561898,66.124,57.14940219561897,89.86740219561898,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2028,3,base,68.94140219561896,66.124,55.99140219561897,87.46040219561897,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2029,4,base,68.00040219561896,66.124,54.74740219561897,86.76340219561897,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2030,5,base,71.11940219561896,66.124,53.98540219561897,86.99140219561897,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2031,6,base,74.57940219561897,66.124,53.955402195618966,85.33540219561897,66.124,2,Large,1,0.5,LargeColossal
centinela_centinela_óxidos_,2032,7,base,72.32140219561896,66.124,53.04640219561897,85.25640219561896,66.124,2,Large,1,0.5,LargeColossal
cerro negro,2026,1,base,4.073915548550734,4.072,4.241915548550734,4.4819155485507345,4.072,0,Small,1,0.5,SmallMed
cerro negro,2027,2,base,4.062915548550734,4.072,3.2139155485507342,4.434915548550734,4.072,0,Small,1,0.5,SmallMed
cerro negro,2028,3,base,3.662915548550734,4.072,2.264915548550734,4.384915548550734,4.072,0,Small,1,0.5,SmallMed
cerro negro,2029,4,base,3.766915548550734,4.072,1.8969155485507343,4.269915548550734,4.072,0,Small,1,0.5,SmallMed
cerro negro,2030,5,base,2.9789155485507344,4.072,1.8799155485507344,3.868915548550734,4.072,0,Small,1,0.5,SmallMed
cerro negro,2031,6,base,2.931915548550734,4.072,1.7909155485507344,3.747915548550734,4.072,0,Small,1,0.5,SmallMed
cerro negro,2032,7,base,2.871915548550734,4.072,1.7539155485507343,3.711915548550734,4.072,0,Small,1,0.5,SmallMed
chuquicamata,2026,1,base,191.07135447295445,265.756,210.03335447295444,242.48235447295446,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2027,2,base,197.93335447295448,265.756,212.27735447295447,251.93335447295448,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2028,3,base,210.32335447295446,265.756,222.52735447295447,255.48135447295448,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2029,4,base,215.09835447295444,265.756,215.75935447295444,259.5343544729545,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2030,5,base,216.2933544729545,265.756,212.55135447295447,261.1663544729545,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2031,6,base,221.48835447295448,265.756,210.41235447295446,262.0223544729545,265.756,3,Colossal,2,0.5,LargeColossal
chuquicamata,2032,7,base,211.97235447295446,265.756,205.57535447295447,263.45335447295446,265.756,3,Colossal,2,0.5,LargeColossal
collahuasi,2026,1,base,549.4301239447389,406.016,462.3891239447388,598.7431239447387,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2027,2,base,538.5921239447388,406.016,457.1011239447388,590.3651239447388,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2028,3,base,533.2231239447387,406.016,455.3301239447388,577.7481239447388,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2029,4,base,517.6461239447387,406.016,424.2601239447388,579.2841239447388,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2030,5,base,507.4231239447388,406.016,417.3061239447388,577.1111239447388,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2031,6,base,498.61212394473876,406.016,422.88412394473875,575.5361239447388,406.016,3,Colossal,2,0.5,LargeColossal
collahuasi,2032,7,base,506.42012394473875,406.016,423.0511239447388,578.7271239447388,406.016,3,Colossal,2,0.5,LargeColossal
el abra,2026,1,base,73.77051311216907,91.376,67.72951311216906,64.50651311216906,91.376,1,Medium,2,0.5,SmallMed
el abra,2027,2,base,72.95951311216906,91.376,68.92651311216906,66.02051311216907,91.376,1,Medium,2,0.5,SmallMed
el abra,2028,3,base,73.00551311216907,91.376,70.18751311216907,67.51551311216906,91.376,1,Medium,2,0.5,SmallMed
el abra,2029,4,base,72.65751311216907,91.376,65.68751311216907,67.85051311216907,91.376,1,Medium,2,0.5,SmallMed
el abra,2030,5,base,70.47051311216906,91.376,66.51051311216906,66.36351311216906,91.376,1,Medium,2,0.5,SmallMed
el abra,2031,6,base,70.46751311216906,91.376,60.50851311216907,65.59151311216907,91.376,1,Medium,2,0.5,SmallMed
el abra,2032,7,base,71.27351311216907,91.376,52.290513112169066,63.70551311216906,91.376,1,Medium,2,0.5,SmallMed
el soldado,2026,1,base,49.29962221635954,42.604,41.27262221635954,52.03762221635954,42.604,1,Medium,1,0.5,SmallMed
el soldado,2027,2,base,51.83362221635953,42.604,39.26262221635953,53.15962221635954,42.604,1,Medium,1,0.5,SmallMed
el soldado,2028,3,base,48.32762221635953,42.604,36.072622216359534,52.07962221635954,42.604,1,Medium,1,0.5,SmallMed
el soldado,2029,4,base,46.849622216359535,42.604,37.291622216359535,49.69062221635953,42.604,1,Medium,1,0.5,SmallMed
el soldado,2030,5,base,47.13662221635954,42.604,37.751622216359536,48.22562221635954,42.604,1,Medium,1,0.5,SmallMed
el soldado,2031,6,base,41.49062221635954,42.604,33.697622216359534,47.72362221635953,42.604,1,Medium,1,0.5,SmallMed
el soldado,2032,7,base,31.325622216359534,42.604,21.845622216359537,46.30762221635953,42.604,1,Medium,1,0.5,SmallMed
el teniente,2026,1,base,267.0106977691585,310.146,277.03869776915855,312.11569776915854,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2027,2,base,266.5906977691585,310.146,264.21469776915853,319.76469776915854,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2028,3,base,259.4266977691585,310.146,276.49269776915855,323.64469776915854,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2029,4,base,243.63069776915853,310.146,258.80269776915856,325.36869776915853,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2030,5,base,239.59569776915853,310.146,256.16369776915855,326.65669776915854,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2031,6,base,239.86769776915853,310.146,255.21369776915856,326.93769776915855,310.146,3,Colossal,2,0.5,LargeColossal
el teniente,2032,7,base,238.80069776915855,310.146,253.86669776915852,328.8646977691585,310.146,3,Colossal,2,0.5,LargeColossal
escondida,2026,1,base,1283.3382221747258,1345.132,1152.1352221747259,1370.0712221747258,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2027,2,base,1259.9582221747257,1345.132,1112.5692221747258,1355.9942221747258,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2028,3,base,1253.5312221747258,1345.132,1068.2672221747257,1331.3032221747258,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2029,4,base,1254.2052221747258,1345.132,999.1822221747258,1312.1452221747259,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2030,5,base,1217.0112221747258,1345.132,987.3112221747258,1273.2082221747257,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2031,6,base,1153.6872221747258,1345.132,947.1742221747259,1261.0722221747258,1345.132,3,Colossal,2,0.5,LargeColossal
escondida,2032,7,base,1101.8672221747258,1345.132,924.7332221747258,1261.3112221747258,1345.132,3,Colossal,2,0.5,LargeColossal
franke,2026,1,base,4.733869705366269,10.894,4.797869705366269,7.648869705366268,10.894,0,Small,1,0.5,SmallMed
franke,2027,2,base,2.686869705366268,10.894,1.3908697053662675,7.545869705366268,10.894,0,Small,1,0.5,SmallMed
franke,2028,3,base,0.36586970536626806,10.894,0.0,7.455869705366268,10.894,0,Small,1,0.5,SmallMed
franke,2029,4,base,0.0,10.894,0.0,7.102869705366269,10.894,0,Small,1,0.5,SmallMed
franke,2030,5,base,0.1738697053662679,10.894,0.0,6.117869705366269,10.894,0,Small,1,0.5,SmallMed
franke,2031,6,base,1.1538697053662683,10.894,0.0,5.360869705366268,10.894,0,Small,1,0.5,SmallMed
franke,2032,7,base,1.2668697053662679,10.894,0.0,5.316869705366269,10.894,0,Small,1,0.5,SmallMed
gabriela mistral,2026,1,base,77.42356274778817,81.664,67.20956274778817,98.13656274778818,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2027,2,base,73.18156274778818,81.664,64.78556274778818,98.40856274778817,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2028,3,base,72.47856274778817,81.664,63.52456274778817,100.37556274778818,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2029,4,base,72.43756274778818,81.664,62.76256274778817,100.66856274778817,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2030,5,base,71.83756274778817,81.664,61.85856274778817,100.61156274778817,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2031,6,base,72.47556274778817,81.664,61.82756274778818,100.08756274778817,81.664,2,Large,2,0.5,LargeColossal
gabriela mistral,2032,7,base,73.98956274778817,81.664,61.07756274778818,100.41456274778817,81.664,2,Large,2,0.5,LargeColossal
lomas bayas,2026,1,base,46.05469664998119,60.578,48.857696649981186,63.07069664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2027,2,base,44.81769664998119,60.578,45.46569664998119,61.60769664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2028,3,base,37.27669664998119,60.578,40.14269664998119,58.38469664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2029,4,base,35.79869664998119,60.578,40.985696649981186,56.50369664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2030,5,base,30.262696649981187,60.578,40.110696649981186,55.62369664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2031,6,base,29.094696649981188,60.578,40.06169664998119,55.10269664998119,60.578,1,Medium,2,0.5,SmallMed
lomas bayas,2032,7,base,20.480696649981187,60.578,29.44169664998119,54.26569664998119,60.578,1,Medium,2,0.5,SmallMed
los bronces,2026,1,base,191.5520961134565,207.207,175.5870961134565,211.88309611345653,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2027,2,base,185.73709611345652,207.207,174.64509611345653,211.65409611345652,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2028,3,base,185.69509611345651,207.207,171.92909611345652,205.37709611345653,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2029,4,base,183.04209611345652,207.207,168.36209611345652,204.62609611345653,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2030,5,base,185.64309611345652,207.207,165.5100961134565,210.44009611345652,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2031,6,base,191.81109611345653,207.207,164.49109611345654,208.71409611345652,207.207,3,Colossal,2,0.5,LargeColossal
los bronces,2032,7,base,192.41209611345653,207.207,161.4210961134565,210.6880961134565,207.207,3,Colossal,2,0.5,LargeColossal
los pelambres,2026,1,base,275.03702533373456,305.873,233.50502533373458,319.8730253337346,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2027,2,base,277.47002533373455,305.873,230.79202533373456,320.3850253337346,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2028,3,base,284.66002533373455,305.873,228.83102533373454,313.46702533373457,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2029,4,base,283.79702533373455,305.873,223.80002533373454,313.14502533373457,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2030,5,base,285.22702533373456,305.873,218.15702533373457,313.09702533373456,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2031,6,base,284.8510253337346,305.873,220.23102533373458,309.17402533373456,305.873,3,Colossal,1,0.5,LargeColossal
los pelambres,2032,7,base,283.88602533373455,305.873,218.80402533373456,310.57402533373454,305.873,3,Colossal,1,0.5,LargeColossal
mantos blancos,2026,1,base,79.67522529822955,61.919,72.36422529822956,81.36322529822955,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2027,2,base,77.61222529822956,61.919,69.45622529822955,82.35822529822956,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2028,3,base,78.31622529822955,61.919,70.75122529822956,84.75922529822955,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2029,4,base,78.10122529822956,61.919,72.15222529822955,85.20022529822955,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2030,5,base,78.36222529822956,61.919,70.67422529822956,83.48022529822956,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2031,6,base,78.95822529822955,61.919,69.54722529822956,81.57322529822956,61.919,1,Medium,1,0.5,SmallMed
mantos blancos,2032,7,base,74.41222529822956,61.919,67.13022529822956,80.24422529822955,61.919,1,Medium,1,0.5,SmallMed
mantoverde,2026,1,base,112.81764536805936,95.115,116.59664536805937,146.09464536805936,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2027,2,base,101.28664536805937,95.115,114.12764536805936,146.70264536805936,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2028,3,base,100.88464536805937,95.115,113.13964536805936,147.63664536805936,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2029,4,base,103.33664536805937,95.115,112.33864536805936,148.70264536805936,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2030,5,base,108.16664536805936,95.115,112.76364536805937,148.38164536805937,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2031,6,base,106.20064536805937,95.115,110.02964536805936,148.45064536805936,95.115,1,Medium,1,0.5,SmallMed
mantoverde,2032,7,base,104.95964536805937,95.115,110.15664536805937,146.44864536805935,95.115,1,Medium,1,0.5,SmallMed
michilla,2026,1,base,1.8089572541164518,16.879,0.0,13.443957254116452,16.879,0,Small,1,0.5,SmallMed
michilla,2027,2,base,0.0,16.879,0.0,13.245957254116455,16.879,0,Small,1,0.5,SmallMed
michilla,2028,3,base,0.0,16.879,0.0,12.668957254116453,16.879,0,Small,1,0.5,SmallMed
michilla,2029,4,base,0.0,16.879,0.0,12.479957254116453,16.879,0,Small,1,0.5,SmallMed
michilla,2030,5,base,0.0,16.879,0.0,11.874957254116453,16.879,0,Small,1,0.5,SmallMed
michilla,2031,6,base,0.0,16.879,0.0,10.223957254116453,16.879,0,Small,1,0.5,SmallMed
michilla,2032,7,base,0.0,16.879,0.0,9.979957254116453,16.879,0,Small,1,0.5,SmallMed
ministro hales,2026,1,base,182.88756031058546,152.888,149.30356031058545,190.51656031058545,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2027,2,base,180.81956031058544,152.888,149.19556031058545,189.41156031058546,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2028,3,base,177.01756031058545,152.888,146.89156031058545,189.26456031058544,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2029,4,base,179.81456031058545,152.888,145.15556031058546,184.17256031058545,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2030,5,base,176.09656031058546,152.888,144.43156031058544,184.61256031058545,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2031,6,base,174.86556031058544,152.888,143.49756031058544,184.31656031058546,152.888,2,Large,2,0.5,LargeColossal
ministro hales,2032,7,base,170.03056031058546,152.888,140.35056031058545,188.40256031058544,152.888,2,Large,2,0.5,LargeColossal
pampa camarones,2026,1,base,3.166,3.643,3.219,3.86,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2027,2,base,3.278,3.643,2.763,3.884,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2028,3,base,2.881,3.643,2.433,3.77,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2029,4,base,2.877,3.643,2.166,3.715,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2030,5,base,2.337,3.643,2.174,3.42,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2031,6,base,2.361,3.643,2.339,3.415,3.643,0,Small,1,0.5,SmallMed
pampa camarones,2032,7,base,1.995,3.643,1.944,3.365,3.643,0,Small,1,0.5,SmallMed
radomiro tomic,2026,1,base,264.98318043904095,295.298,236.77018043904093,290.09318043904096,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2027,2,base,262.41118043904095,295.298,227.61818043904094,291.03118043904095,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2028,3,base,264.24818043904094,295.298,226.18218043904096,289.96118043904096,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2029,4,base,267.4071804390409,295.298,221.36018043904096,285.13518043904094,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2030,5,base,269.941180439041,295.298,226.57018043904094,281.94318043904093,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2031,6,base,270.6621804390409,295.298,217.40318043904097,280.03618043904095,295.298,3,Colossal,2,0.5,LargeColossal
radomiro tomic,2032,7,base,269.95618043904096,295.298,213.44918043904096,279.328180439041,295.298,3,Colossal,2,0.5,LargeColossal
salvador,2026,1,base,61.752978537029065,47.017,40.17397853702907,71.65597853702907,47.017,0,Small,2,0.5,SmallMed
salvador,2027,2,base,59.624978537029065,47.017,33.22197853702907,69.49697853702907,47.017,0,Small,2,0.5,SmallMed
salvador,2028,3,base,57.724978537029074,47.017,37.68597853702907,67.34697853702907,47.017,0,Small,2,0.5,SmallMed
salvador,2029,4,base,52.40597853702907,47.017,25.94597853702907,69.87597853702907,47.017,0,Small,2,0.5,SmallMed
salvador,2030,5,base,49.71197853702907,47.017,26.06197853702907,69.25697853702907,47.017,0,Small,2,0.5,SmallMed
salvador,2031,6,base,54.50297853702907,47.017,22.50697853702907,68.19897853702906,47.017,0,Small,2,0.5,SmallMed
salvador,2032,7,base,58.001978537029075,47.017,22.30997853702907,66.66497853702907,47.017,0,Small,2,0.5,SmallMed
sierra gorda,2026,1,base,196.5132577825299,165.313,182.5102577825299,222.03325778252992,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2027,2,base,193.5842577825299,165.313,180.6942577825299,220.5992577825299,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2028,3,base,185.27725778252992,165.313,179.14625778252991,216.9012577825299,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2029,4,base,185.3262577825299,165.313,177.3372577825299,213.29525778252992,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2030,5,base,180.9112577825299,165.313,169.9002577825299,209.5832577825299,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2031,6,base,178.1442577825299,165.313,164.1482577825299,207.4212577825299,165.313,2,Large,1,0.5,LargeColossal
sierra gorda,2032,7,base,174.85025778252992,165.313,162.3472577825299,207.0172577825299,165.313,2,Large,1,0.5,LargeColossal
tres valles,2026,1,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2027,2,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2028,3,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2029,4,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2030,5,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2031,6,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
tres valles,2032,7,base,0.0,1.811,0.0,0.0,1.811,0,Small,1,0.5,SmallMed
zaldivar,2026,1,base,83.72559239275175,75.362,64.50459239275175,88.04959239275175,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2027,2,base,86.80459239275174,75.362,62.68159239275173,89.93159239275174,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2028,3,base,91.14659239275174,75.362,62.87359239275174,96.44959239275174,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2029,4,base,96.03659239275174,75.362,62.74859239275174,99.88459239275174,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2030,5,base,94.27559239275175,75.362,62.95959239275174,105.25059239275174,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2031,6,base,95.06059239275174,75.362,61.28759239275174,107.58659239275174,75.362,2,Large,1,0.5,LargeColossal
zaldivar,2032,7,base,96.93259239275174,75.362,59.71959239275174,109.30359239275174,75.362,2,Large,1,0.5,LargeColossal
andacollo,2026,1,bull,48.756627556084815,50.481,29.616627556084815,45.71862755608482,50.481,1,Medium,1,0.8,SmallMed
andacollo,2027,2,bull,46.076627556084816,50.481,24.472627556084817,45.405627556084816,50.481,1,Medium,1,0.8,SmallMed
andacollo,2028,3,bull,48.38362755608482,50.481,25.091627556084816,44.24962755608482,50.481,1,Medium,1,0.8,SmallMed
andacollo,2029,4,bull,41.89262755608482,50.481,18.339627556084814,46.945627556084816,50.481,1,Medium,1,0.8,SmallMed
andacollo,2030,5,bull,33.787627556084814,50.481,18.139627556084818,43.84062755608482,50.481,1,Medium,1,0.8,SmallMed
